video_id,title,category_id,category_name,upload_date,upload_hour,upload_day,title_length,description_length,tag_count,duration_seconds,views,likes,dislikes,comments,like_view_ratio,comment_view_ratio,has_face_thumbnail,thumbnail_brightness,has_text_thumbnail,trending,duration_minutes,is_weekend,is_prime_time,optimal_tags,optimal_title
vid_00000,Why Tutorial Secret vs Viral Amazing Amazi,20,Gaming,2023-03-04 12:00:00,6,1,42,3308,12,759,935633.0,34519.0,1849,1315.0,0.0369,0.001405,0,228,0,1,12.65,0,0,1,1
vid_00001,Breaking Last Best vs Exposed Amazing Official Secret Official Ultimat,24,Entertainment,2023-08-15 20:00:00,19,3,70,4861,3,2450,6568129.0,614327.0,52915,146066.0,0.0935,0.022239,1,56,0,1,40.83,0,1,0,0
vid_00002,New Tutorial Amazing Challenge Breaking vs Real Inside Guide Tutorial 2024 Breaking,22,People & Blogs,2023-02-13 04:00:00,14,5,83,3983,19,446,81982.0,5364.0,364,1730.0,0.0654,0.021102,1,206,1,0,7.43,1,0,0,0
vid_00003,Ultimate Amazing Real Last Challenge Why First Exposed 2024 2024 Review Amazing 2024 Viral ,28,Science & Technology,2023-07-01 00:00:00,10,6,91,2897,17,1084,145103.0,7913.0,649,3479.0,0.0545,0.023976,1,220,0,0,18.07,1,0,0,0
vid_00004,Challenge Top Ultimate Explained Breaking First Ultimate Top Last Top Vi,24,Entertainment,2023-03-03 12:00:00,7,1,72,4571,5,397,3177573.0,96293.0,7777,26832.0,0.0303,0.008444,0,118,1,1,6.62,0,0,0,0
vid_00005,New Reaction New Reaction Viral Tutorial How Explained Guide Tutorial Tutorial Secret Secret,23,Comedy,2023-06-15 00:00:00,20,3,92,1489,2,2636,43696.0,4141.0,112,606.0,0.0948,0.013868,0,143,0,0,43.93,0,1,0,0
vid_00006,Viral Official New Best Tutorial First New Real Exposed Guide Reaction Inside Breaking Ex,17,Sports,2023-09-28 08:00:00,6,5,89,3492,22,137,192695.0,20241.0,1386,3875.0,0.105,0.020109,1,162,1,0,2.28,1,0,0,0
vid_00007,Official Tutorial New New Best Reaction Secret Challenge,22,People & Blogs,2023-07-17 08:00:00,18,5,56,4530,12,2661,219109.0,14363.0,401,3013.0,0.0656,0.013751,0,156,0,0,44.35,1,1,1,1
vid_00008,First Top vs Official Real 2024 Amazing Inside Real ,10,Music,2023-05-07 12:00:00,22,1,52,105,26,868,33506.0,2706.0,169,711.0,0.0808,0.021219,1,169,1,0,14.47,0,0,0,1
vid_00009,New First Tutorial Real Explained Guide Ultimate Amazing 2024 How Tutorial Tutoria,10,Music,2023-07-21 20:00:00,10,6,82,3374,15,447,379060.0,19139.0,1358,7348.0,0.0505,0.019385,0,235,0,0,7.45,1,0,1,0
