video_id,title,category_id,category_name,upload_date,upload_hour,upload_day,title_length,description_length,tag_count,duration_seconds,views,likes,dislikes,comments,like_view_ratio,comment_view_ratio,has_face_thumbnail,thumbnail_brightness,has_text_thumbnail,trending
vid_00000,Why Tutorial Secret vs Viral Amazing Amazi,20,Gaming,2023-03-04 12:00:00,6,1,42,3308,12,759,935633,34519,1849,1315,0.0369,0.001405,0,228,0,1
vid_00001,Breaking Last Best vs Exposed Amazing Official Secret Official Ultimat,24,Entertainment,2023-08-15 20:00:00,19,3,70,4861,3,2450,6568129,614327,52915,146066,0.0935,0.022239,1,56,0,1
vid_00002,New Tutorial Amazing Challenge Breaking vs Real Inside Guide Tutorial 2024 Breaking,22,People & Blogs,2023-02-13 04:00:00,14,5,83,3983,19,446,81982,5364,364,1730,0.0654,0.021102,1,206,1,0
vid_00003,Ultimate Amazing Real Last Challenge Why First Exposed 2024 2024 Review Amazing 2024 Viral ,28,Science & Technology,2023-07-01 00:00:00,10,6,91,2897,17,1084,145103,7913,649,3479,0.0545,0.023976,1,220,0,0
vid_00004,Challenge Top Ultimate Explained Breaking First Ultimate Top Last Top Vi,24,Entertainment,2023-03-03 12:00:00,7,1,72,4571,5,397,3177573,96293,7777,26832,0.0303,0.008444,0,118,1,1
vid_00005,New Reaction New Reaction Viral Tutorial How Explained Guide Tutorial Tutorial Secret Secret,23,Comedy,2023-06-15 00:00:00,20,3,92,1489,2,2636,43696,4141,112,606,0.0948,0.013868,0,143,0,0
vid_00006,Viral Official New Best Tutorial First New Real Exposed Guide Reaction Inside Breaking Ex,17,Sports,2023-09-28 08:00:00,6,5,89,3492,22,137,192695,20241,1386,3875,0.105,0.020109,1,162,1,0
vid_00007,Official Tutorial New New Best Reaction Secret Challenge,22,People & Blogs,2023-07-17 08:00:00,18,5,56,4530,12,2661,219109,14363,401,3013,0.0656,0.013751,0,156,0,0
vid_00008,First Top vs Official Real 2024 Amazing Inside Real ,10,Music,2023-05-07 12:00:00,22,1,52,105,26,868,33506,2706,169,711,0.0808,0.021219,1,169,1,0
vid_00009,New First Tutorial Real Explained Guide Ultimate Amazing 2024 How Tutorial Tutoria,10,Music,2023-07-21 20:00:00,10,6,82,3374,15,447,379060,19139,1358,7348,0.0505,0.019385,0,235,0,0
vid_00010,How How vs Last Breaking Top Breaking Review Challenge Reaction Rea,10,Music,2023-06-21 12:00:00,10,4,67,155,26,1673,1695229,145785,14542,7331,0.086,0.004324,0,185,0,1
vid_00011,Inside Review Last First Breaking vs Breaking F,10,Music,2023-04-12 00:00:00,23,4,47,3251,4,850,644802,20048,255,15249,0.0311,0.023649,0,219,0,1
vid_00012,Top Ultimate Best First Breaking Explained Reaction Reaction Tutorial Guide Ultimate ,17,Sports,2023-04-23 16:00:00,20,5,85,719,3,1451,3004196,222244,4047,65790,0.074,0.021899,1,253,0,1
vid_00013,Explained Last Challenge Challenge Real New Last Reaction Ultimate Bre,24,Entertainment,2023-02-21 16:00:00,3,4,70,4521,20,3373,3781081,332653,5632,75694,0.088,0.020019,0,91,1,1
vid_00014,Challenge Last Amazing Exposed Why Last Reaction Guide Reaction Amazing How Explained ,27,Education,2023-07-18 16:00:00,7,0,86,792,7,712,254135,28625,1312,1397,0.1126,0.005497,1,62,0,0
vid_00015,First Inside vs 2024 vs vs Real Challenge Why Viral First Real Ch,24,Entertainment,2023-06-30 00:00:00,23,5,65,1016,18,3217,59654775,3837008,322089,523285,0.0643,0.008772,1,203,0,1
vid_00016,Breaking Secret Top vs 2024 Review Last Best First Tutorial Inside New Secret Secret Sec,25,News & Politics,2023-01-13 12:00:00,2,5,88,357,13,285,285093,28186,2423,3535,0.0989,0.012399,0,67,1,0
vid_00017,Why Ultimate vs Breaking How Top vs Review Reaction Guide,28,Science & Technology,2023-10-13 04:00:00,21,3,57,2188,6,3182,534446,44782,3418,4873,0.0838,0.009118,1,91,0,1
vid_00018,Why Viral Best Exposed Explai,20,Gaming,2023-01-29 08:00:00,20,4,29,3514,13,2857,239144,27126,2460,1819,0.1134,0.007606,1,100,1,0
vid_00019,Inside Tutorial Review Last Real Reaction Real Guide,27,Education,2023-02-01 20:00:00,1,6,52,4947,5,3229,1298877,85536,3340,31634,0.0659,0.024355,0,162,1,1
vid_00020,Why vs First New Review Why I,27,Education,2023-07-09 12:00:00,23,5,29,159,11,867,361918,21251,381,7060,0.0587,0.019507,1,193,0,0
vid_00021,Ultimate New Offici,24,Entertainment,2023-01-31 00:00:00,11,6,19,3682,15,2992,529703,58184,886,9216,0.1098,0.017398,1,150,0,1
vid_00022,Inside 2024 Explained 2024 Challenge Last Why Last Amazing Explained How Official Guide How How O,27,Education,2023-07-13 00:00:00,5,0,97,4485,16,2312,305778,10528,912,2309,0.0344,0.007551,0,52,1,0
vid_00023,Tutorial Viral Exposed Secret Exposed Challenge Inside Secret First ,26,Howto & Style,2023-11-14 20:00:00,1,3,68,1965,12,582,352248,14891,1127,9730,0.0423,0.027623,0,128,0,0
vid_00024,First Guide Top Ultimate Real First Viral Viral Breaking Exposed ,26,Howto & Style,2023-09-30 12:00:00,20,1,65,4313,22,210,823555,30814,2245,5389,0.0374,0.006544,0,147,1,1
vid_00025,Amazing Viral Top Viral ,25,News & Politics,2023-11-21 00:00:00,0,6,24,606,13,186,271488,28745,1166,6530,0.1059,0.024053,1,222,0,0
vid_00026,Inside vs Best Ultimate To,20,Gaming,2023-07-30 16:00:00,11,5,26,154,28,1507,246182,7620,336,7147,0.031,0.029031,1,199,0,0
vid_00027,Challenge Secret C,23,Comedy,2023-06-08 04:00:00,21,0,18,2097,6,600,4272051,459455,44213,94351,0.1075,0.022086,0,72,1,1
vid_00028,First Ultimate Secret Last New F,17,Sports,2023-08-10 12:00:00,11,2,32,195,13,886,359956,25417,400,10724,0.0706,0.029792,1,108,0,0
vid_00029,First Best Official Guide Best Challenge Why Challenge Inside 2024 Exposed Ultimate 2024 2024 ,24,Entertainment,2023-05-23 00:00:00,16,0,94,2813,14,1814,1058872,32149,2560,21050,0.0304,0.01988,0,239,0,1
vid_00030,2024 New Reaction Reaction Why Breaking New Real H,17,Sports,2023-01-17 20:00:00,9,0,50,923,11,1757,117774,7790,294,860,0.0661,0.007302,0,162,0,0
vid_00031,First Real Guide First Challenge 2024 B,23,Comedy,2023-05-09 08:00:00,15,3,39,348,16,1077,198701,9301,125,1373,0.0468,0.00691,0,117,1,0
vid_00032,Breaking How Official Secret 2024 Ultimate Explained Reaction Viral Real Explained Explain,24,Entertainment,2023-11-23 08:00:00,14,1,90,3288,8,1526,66401,5723,439,691,0.0862,0.010406,1,103,0,0
vid_00033,Guide Challenge Reaction Review New New Why Viral ,24,Entertainment,2023-01-22 20:00:00,14,2,50,695,21,1453,15761049,1436498,57146,19019,0.0911,0.001207,1,106,1,1
vid_00034,Inside First Secret Why First Exposed Secret Tutorial Viral Official Viral First ,20,Gaming,2023-01-03 16:00:00,18,4,81,4783,14,3025,8838440,652961,48967,183567,0.0739,0.020769,0,200,0,1
vid_00035,First Breaking Amazing ,17,Sports,2023-10-15 20:00:00,11,4,23,3128,11,621,1550592,52172,3844,13631,0.0336,0.008791,0,160,1,1
vid_00036,Challenge New vs Top Amazing Official Viral Inside Explained Ultimate Chall,26,Howto & Style,2023-11-25 20:00:00,22,6,75,2561,1,2211,24440369,2176453,126518,602218,0.0891,0.02464,1,109,0,1
